Position,Goals,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Hit woodwork,Big chances missed,Clean sheets,Goals conceded,Tackles,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big chances created,Crosses,Through balls,Accurate long balls,Saves,Penalties saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks,Yellow cards,Red cards,Fouls,Offsides,Appearances
Goalkeeper,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,152,21.71,0.0,0.0,0.0,35.0,15.0,0.0,1.0,3.0,2.0,0.0,29.0,53.0,0,0,0,0.0,7
Goalkeeper,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,397,24.81,0.0,0.0,0.0,62.0,44.0,1.0,2.0,22.0,6.0,4.0,86.0,103.0,2,0,1,0.0,16
Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,190.0,266.0,1.0,14.0,241.0,350.0,133.0,1.0,614.0,493.0,454.0,46.0,94.0,142.0,1.0,0.0,5,5491,37.87,6.0,255.0,5.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,121,3.0,145
Defender,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,19.0,0.0,3.0,27.0,70.0,26.0,0.0,106.0,116.0,81.0,7.0,56.0,48.0,0.0,1.0,2,810,31.15,2.0,13.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,17,1.0,26
Defender,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,88.0,122.0,0.0,8.0,124.0,156.0,61.0,1.0,297.0,274.0,239.0,21.0,84.0,84.0,0.0,1.0,6,2240,31.11,13.0,250.0,8.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,41,2.0,72
Defender,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,11.0,0.0,0.0,28.0,85.0,42.0,0.0,53.0,71.0,39.0,1.0,55.0,27.0,0.0,1.0,0,647,38.06,0.0,2.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,1.0,17
Defender,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.0,74.0,0.0,2.0,49.0,62.0,26.0,0.0,104.0,164.0,172.0,23.0,48.0,68.0,0.0,0.0,2,749,29.96,1.0,91.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,36,2.0,25
Defender,6,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,28.0,237.0,267.0,0.0,19.0,246.0,342.0,162.0,5.0,909.0,960.0,866.0,128.0,444.0,410.0,1.0,1.0,13,6628,36.22,19.0,916.0,7.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,152,13.0,183
Defender,1,0.0,1.0,0.0,0.0,0.0,20.0,3.0,0.0,3.0,0.0,0.0,21.0,0.0,2.0,20.0,94.0,51.0,0.0,109.0,138.0,77.0,9.0,100.0,35.0,0.0,1.0,0,799,44.39,1.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,24,1.0,18
Defender,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,78.0,30.0,1.0,1.0,49.0,253.0,111.0,3.0,270.0,162.0,113.0,18.0,96.0,69.0,2.0,2.0,3,1961,38.45,2.0,10.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,30,2.0,51
Midfielder,3,0.0,2.0,1.0,0.0,0.0,41.0,13.0,0.0,2.0,0.0,0.0,46.0,0.0,17.0,36.0,47.0,18.0,0.0,211.0,150.0,163.0,36.0,31.0,36.0,0.0,1.0,2,1300,35.14,3.0,25.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,51,0.0,37
Midfielder,3,0.0,0.0,3.0,0.0,0.0,57.0,20.0,2.0,4.0,0.0,0.0,53.0,0.0,12.0,26.0,15.0,6.0,0.0,157.0,193.0,185.0,53.0,19.0,35.0,0.0,0.0,3,759,26.17,3.0,67.0,3.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,38,0.0,29
Midfielder,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,14.0,10.0,16.0,0.0,2.0,6.0,0.0,0.0,0,115,8.85,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,5,1.0,13
